14,17,0 
15,18,7 
16,19,21 
17,20,28 
18,21,14 
19,22,16 
20,23,9 
1,4,0 
2,5,0 
3,6,1 
4,7,1 
5,8,2 
6,9,4 
7,10,19 
8,11,23 
9,12,19 
10,13,20 
11,14,20 
12,15,27 
13,16,52 
14,17,76 
15,18,70 
16,19,57 
17,20,28 
18,21,23 
19,22,13 
20,23,3 
8,11,1 
9,12,4 
10,13,14 
11,14,13 
12,15,15 
13,16,19 
14,17,20 
15,18,17 
16,19,11 
17,20,2 
18,21,0 
10,13,0 
11,14,2 
12,15,4 
13,16,6 
14,17,5 
15,18,8 
16,19,17 
17,20,11 
18,21,8 
19,22,1 
20,23,1 
1,4,0 
2,5,0 
3,6,4 
4,7,0 
5,8,0 
6,9,0 
7,10,0 
8,11,0 
9,12,2 
10,13,3 
11,14,3 
12,15,4 
13,16,2 
14,17,2 
15,18,4 
16,19,7 
17,20,7 
18,21,7 
19,22,5 
20,23,6 
1,4,0 
2,5,0 
3,6,0 
4,7,0 
5,8,0 
6,9,1 
7,10,1 
8,11,10 
9,12,6 
10,13,5 
11,14,1 
12,15,2 
13,16,11 
14,17,17 
15,18,16 
16,19,20 
17,20,15 
18,21,11 
19,22,4 
20,23,5 
1,4,0 
2,5,0 
3,6,0 
4,7,1 
5,8,2 
6,9,5 
7,10,12 
8,11,11 
9,12,4 
10,13,9 
11,14,8 
12,15,13 
13,16,15 
14,17,20 
15,18,7 
16,19,7 
17,20,5 
18,21,6 
19,22,5 
20,23,2 
1,4,1 
2,5,0 
3,6,0 
4,7,0 
5,8,0 
6,9,4 
7,10,0 
8,11,1 
9,12,0 
10,13,1 
11,14,6 
12,15,8 
13,16,9 
14,17,6 
15,18,3 
16,19,1 
17,20,0 
18,21,1 
19,22,4 
20,23,3 
1,4,0 
2,5,1 
3,6,1 
4,7,0 
5,8,0 
6,9,0 
7,10,1 
8,11,1 
9,12,3 
10,13,3 
11,14,3 
12,15,2 
13,16,1 
14,17,0 
15,18,1 
16,19,1 
17,20,2 
18,21,3 
19,22,3 
20,23,3 
1,4,0 
2,5,0 
3,6,0 
4,7,0 
5,8,2 
6,9,5 
7,10,6 
8,11,7 
9,12,10 
10,13,4 
11,14,7 
12,15,7 
13,16,14 
14,17,18 
15,18,16 
16,19,18 
17,20,10 
18,21,10 
19,22,3 
20,23,1 
1,4,2 
2,5,0 
3,6,0 
4,7,0 
5,8,1 
6,9,7 
7,10,8 
8,11,12 
9,12,8 
10,13,5 
11,14,1 
12,15,1 
13,16,9 
14,17,20 
15,18,24 
16,19,18 
17,20,11 
18,21,6 
19,22,8 
20,23,3 
1,4,0 
2,5,0 
3,6,0 
4,7,2 
5,8,2 
6,9,9 
7,10,11 
8,11,8 
9,12,4 
10,13,4 
11,14,3 
12,15,7 
13,16,6 
14,17,8 
15,18,10 
16,19,12 
17,20,11 
18,21,6 
19,22,3 
20,23,0 
1,4,0 
2,5,2 
3,6,0 
4,7,0 
5,8,0 
6,9,1 
7,10,10 
8,11,13 
9,12,9 
10,13,2 
11,14,3 
12,15,4 
13,16,7 
14,17,9 
15,18,14 
16,19,13 
17,20,12 
18,21,4 
19,22,8 
20,23,6 
1,4,0 
2,5,0 
3,6,0 
4,7,0 
5,8,1 
6,9,1 
7,10,2 
8,11,3 
9,12,3 
10,13,1 
11,14,3 
12,15,7 
13,16,7 
14,17,11 
15,18,15 
16,19,12 
17,20,10 
18,21,3 
19,22,0 
20,23,1 
1,4,4 
2,5,4 
3,6,2 
4,7,2 
5,8,0 
6,9,0 
7,10,0 
8,11,1 
9,12,1 
10,13,1 
11,14,2 
12,15,6 
13,16,2 
14,17,0 
15,18,0 
16,19,4 
17,20,2 
18,21,0 
19,22,1 
20,23,1 
1,4,0 
2,5,0 
3,6,0 
4,7,0 
5,8,1 
6,9,0 
7,10,1 
8,11,3 
9,12,2 
10,13,4 
11,14,9 
12,15,10 
13,16,6 
14,17,3 
15,18,4 
16,19,1 
17,20,0 
18,21,0 
19,22,0 
20,23,0 
1,4,2 
2,5,0 
3,6,0 
4,7,0 
5,8,0 
6,9,0 
7,10,5 
8,11,9 
9,12,10 
10,13,8 
11,14,4 
12,15,6 
13,16,6 
14,17,5 
15,18,8 
16,19,8 
17,20,6 
18,21,3 
19,22,1 
20,23,1 
